tratamientos,r.squared,r2_ajustado,rmse,p_valor,indice,fecha,cobertura_ajuste
Quema - Pastoreo,0.4648444361515004,0.4291673985616004,0.5573843577391322,0.0025744630434754,NDVI,2023-06-22,COB_TOTAL_VERDE
Control,0.4497005942821835,0.4153068814248201,13.659139090422007,0.0023197246968645,NDVI,2023-11-14,COB_TOTAL_VERDE
Quema - Excluido,0.7988468231738886,0.7862747496222566,3.45213112827652,5.810104993710088e-07,NDVI,2023-11-14,COB_TOTAL_VERDE
Quema - Pastoreo,0.4636852441744197,0.4279309271193809,2.136826369348472,0.0026192008800155,NDVI,2023-11-14,COB_TOTAL_VERDE
Control,0.7282284195104706,0.711242695729875,8.830848975580121,6.713874670382088e-06,NDVI,2024-06-17,COB_TOTAL_VERDE
Quema - Excluido,0.4541676664810206,0.4200531456360843,6.2850821502602985,0.0021646412926958,NDVI,2024-06-17,COB_TOTAL_VERDE
Quema - Pastoreo,0.0080957265110834,-0.0580312250548442,6.101500626671261,0.7312812829781675,NDVI,2024-06-17,COB_TOTAL_VERDE
Control,0.556708404565639,0.5290026798509915,10.08706470864664,0.0003768703480998,NDVI,2024-11-20,COB_TOTAL_VERDE
Quema - Excluido,0.7011172277418396,0.6824370544757046,4.616050156908143,1.4602130271643772e-05,NDVI,2024-11-20,COB_TOTAL_VERDE
Quema - Pastoreo,0.3005952930296547,0.253968312564965,4.599725547490734,0.0226845758509864,NDVI,2024-11-20,COB_TOTAL_VERDE
Control,0.5244403342149814,0.4947178551034177,12.386454632167782,0.0006777238466575,NDVI,2025-05-19,COB_TOTAL_VERDE
Quema - Excluido,0.1884885669641058,0.1377691023993624,14.013989576487443,0.0718267386401714,NDVI,2025-05-19,COB_TOTAL_VERDE
Quema - Pastoreo,0.1582674457088932,0.1021519420894861,8.249151258926375,0.1137767611593256,NDVI,2025-05-19,COB_TOTAL_VERDE
Prequema,0.3633195582655061,0.3508356280354181,16.822225770576885,1.7886024999605823e-06,NDVI,2022-11-07,REC_VEG
Control,0.6227767288283064,0.5992002743800755,14.822238769717892,9.887018228605438e-05,NDVI,2023-06-22,REC_VEG
Quema - Excluido,0.3540939035593511,0.3137247725318105,3.122696809977952,0.0091849528942252,NDVI,2023-06-22,REC_VEG
Quema - Pastoreo,0.3136224121164394,0.2678639062575353,1.3238497760318348,0.019391555416155,NDVI,2023-06-22,REC_VEG
Control,0.3463846066710864,0.3055336445880293,19.9341005894518,0.0101859708980518,NDVI,2023-11-14,REC_VEG
Quema - Excluido,0.7365601736773391,0.7200951845321728,4.809043204652507,5.207950909687153e-06,NDVI,2023-11-14,REC_VEG
Quema - Pastoreo,0.2300337171685093,0.1787026316464098,2.963057123477001,0.0513902633249125,NDVI,2023-11-14,REC_VEG
Control,0.5285039757334029,0.4990354742167405,18.845049615621623,0.0006307452423576,NDVI,2024-06-17,REC_VEG
Quema - Excluido,0.4955673352289327,0.4640402936807409,9.24487752106252,0.0011115746720994,NDVI,2024-06-17,REC_VEG
Quema - Pastoreo,0.1814510703557403,0.1268811417127897,5.504186886186861,0.0882172867182123,NDVI,2024-06-17,REC_VEG
Control,0.4368889862683291,0.4016945479100997,16.246592748435774,0.0028212823420508,NDVI,2024-11-20,REC_VEG
Quema - Excluido,0.0862535618533899,0.0291444094692268,16.33719404891794,0.2368579661670768,NDVI,2024-11-20,REC_VEG
Quema - Pastoreo,0.040238372096336,-0.0237457364305748,6.673955782441815,0.440130147270929,NDVI,2024-11-20,REC_VEG
Control,0.0885188548615171,0.0315512832903619,24.047241806390023,0.2305101741678766,NDVI,2025-05-19,REC_VEG
Quema - Excluido,0.0989960014092379,0.0426832514973153,22.267934677301035,0.2034970384435108,NDVI,2025-05-19,REC_VEG
Quema - Pastoreo,0.1634776666688316,0.1077095111134203,16.537942522390047,0.1074630851585331,NDVI,2025-05-19,REC_VEG
